@dataValueAttribs							
precip	0	9999	mm				
@dataSetAttribs							
missingDataVal	-9999						
dataStart	01.01.1987 00:00						
dataEnd	31.12.1990 00:00						
tres	d						
@statAttribVal							
name	Station 1	Station 2	Station 3	Station 4	Station 5	Station 6 	Station 7
17.07.1987 00:00	19.81968691	16.49367165	18.2387531	42.30466516	32.9486762	11.56997548	2.359139105
18.07.1987 00:00	22.47017186	20.28760341	21.0107711	35.66100228	38.21313581	29.25788414	21.11476006
19.07.1987 00:00	27.98012465	30.53695395	29.70916081	8.360404523	4.85029657	15.11331807	16.84714285
20.07.1987 00:00	15.73473106	15.25274192	15.37441664	14.29636283	10.36657208	9.132352828	7.147559516
21.07.1987 00:00	15.04556393	14.44395939	14.85190855	25.62792017	21.99590547	7.696927467	0.006599191
22.07.1987 00:00	25.935693	33.724274	25.34550899	11.27034359	19.35773028	24.59386814	25.46386776
23.07.1987 00:00	16.71668768	14.38272173	17.03040295	24.26914082	31.36710495	19.56347495	15.76197314
24.07.1987 00:00	46.34482961	43.07882374	46.40217422	55.77189465	46.58799197	31.66760242	23.21571588
25.07.1987 00:00	16.29457881	9.400498751	17.39956207	44.1223386	49.81061381	13.72637681	0.010894928
26.07.1987 00:00	12.59875818	9.332928111	13.13841786	24.69642626	12.76331661	59.12303631	108.6135183
27.07.1987 00:00	9.823076958	9.368543238	9.46029659	13.93848299	9.550532625	3.197815921	0.003720483
28.07.1987 00:00	30.5936208	32.34080415	29.3568002	24.4843679	22.2451569	18.53031497	14.94413983
29.07.1987 00:00	4.027210738	3.981907515	4.017555801	6.533992555	5.267122663	17.23747796	24.79676637
30.07.1987 00:00	28.84603848	28.50845727	30.77468153	25.73001591	28.14459438	40.59468639	46.77111293
31.07.1987 00:00	9.361504663	8.239042378	8.51776901	18.18294284	13.15596363	52.81461875	76.37911332
01.08.1987 00:00	9.670220452	9.968593645	10.04183749	9.088836588	11.58754871	14.61942055	17.03799263
02.08.1987 00:00	25.09714065	31.29598162	25.91457135	13.76770803	11.93776858	45.49966996	61.86887981
03.08.1987 00:00	13.09711459	12.88548688	13.04138882	6.189332169	15.96703282	13.19715533	10.74648454
04.08.1987 00:00	9.355513466	10.47582782	9.244731955	1.229240781	4.722846085	7.709641065	8.32088632
05.08.1987 00:00	3.587555724	3.417423779	3.435320425	1.898105495	2.942732681	9.536151903	15.28607907
06.08.1987 00:00	9.942955961	13.63531897	9.913237833	2.518843966	0.724802704	8.847581324	11.14932155
07.08.1987 00:00	1.305856556	1.646320154	1.276855338	3.459528368	0.950263475	0.282141577	9.07E-04
