@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
25.09.1987 00:00	100	100	100	100
26.09.1987 00:00	100	95.70554803	100	90.5494035
27.09.1987 00:00	100	85.93137537	100	82.30783436
28.09.1987 00:00	100	80.99406122	100	89.74910989
29.09.1987 00:00	100	88.30036718	100	84.49561617
30.09.1987 00:00	100	88.58163774	100	86.52398166
01.10.1987 00:00	100	89.79124203	100	84.94011473
02.10.1987 00:00	100	78.46318774	100	75.26997322
03.10.1987 00:00	100	88.0455546	100	80.11876184
04.10.1987 00:00	100	100	100	95.46602392
05.10.1987 00:00	100	92.7842864	100	96.36714292
06.10.1987 00:00	100	83.0528007	100	86.89815987
07.10.1987 00:00	100	89.21700682	100	78.14721973
08.10.1987 00:00	100	95.39103099	100	93.63021107
09.10.1987 00:00	100	78.26869305	100	66.77777351
10.10.1987 00:00	100	82.47311163	100	82.5693039
11.10.1987 00:00	100	88.43952786	100	83.25094529
12.10.1987 00:00	100	100	100	87.85181981
13.10.1987 00:00	100	89.10129965	100	81.21978508
14.10.1987 00:00	100	93.96043726	100	80.279972
15.10.1987 00:00	100	97.78201099	100	80.96416495
16.10.1987 00:00	100	100	100	92.30837203
17.10.1987 00:00	100	98.2907999	100	77.6889734
18.10.1987 00:00	100	97.2308181	100	95.72897121
19.10.1987 00:00	100	100	100	99.78884182
20.10.1987 00:00	100	99.73680107	100	100
21.10.1987 00:00	100	97.83690281	100	83.80212843
22.10.1987 00:00	100	89.63391496	100	77.89538392
23.10.1987 00:00	100	95.86027909	100	93.16286524
24.10.1987 00:00	100	80.76098509	100	75.22693597
25.10.1987 00:00	100	84.97075768	100	82.86801126
26.10.1987 00:00	100	91.87630791	100	90.2260194
27.10.1987 00:00	100	85.02063319	100	73.86873385
28.10.1987 00:00	100	80.36128914	100	83.86779589
29.10.1987 00:00	100	95.19849719	100	96.44205038
30.10.1987 00:00	100	90.9214065	100	87.8123409
31.10.1987 00:00	100	88.63682793	100	98.03633603
01.11.1987 00:00	100	90.85109257	100	75.95240281
02.11.1987 00:00	100	100	100	85.12659298
03.11.1987 00:00	100	100	100	78.12632921
04.11.1987 00:00	100	78.27169876	100	73.01042073
